event,detId,x,y,z,width,isSeed,mip,modType
19,441232421,759,0,0,6,1,0,1
19,441232421,769,0,0,3,1,0,1
19,441232421,774,0,0,4,1,0,1
19,438059022,100,0,0,2,0,0,2
19,443354158,144,0,0,1,0,0,1
19,443354157,148,0,0,2,1,0,1
19,440156202,287,0,0,1,0,1,2
19,440156201,286,15,15,1,1,0,2
19,438059021,97,19,3,1,1,0,2
19,438059021,97,20,4,1,1,0,2
19,441232422,611,1,0,2,0,0,1
19,441232422,807,1,0,1,0,0,1
19,441232421,625,1,0,4,1,0,1
19,441232421,794,1,0,2,1,0,1
19,441232426,207,0,0,3,0,0,1
19,441232426,382,0,0,4,0,0,1
19,441232425,192,0,0,1,1,0,1
19,441232425,401,0,0,3,1,0,1
19,438050838,685,0,0,1,0,1,2
19,438050837,686,13,13,2,1,0,2
19,441232426,443,1,0,4,0,0,1
19,441232425,457,1,0,3,1,0,1
19,438060046,916,0,0,2,0,0,2
19,438060045,922,17,1,2,1,0,2
19,441232430,486,0,0,2,0,0,1
19,441232430,883,0,0,1,0,0,1
19,441232429,491,0,0,2,1,0,1
19,441232429,878,0,0,1,1,0,1
19,443320378,992,1,0,1,0,0,1
19,443320377,989,1,0,1,1,0,1
19,441232430,475,1,0,2,0,0,1
19,441232430,915,1,0,1,0,0,1
19,441232429,478,1,0,2,1,0,1
19,441232429,909,1,0,1,1,0,1
19,442291246,716,1,0,2,0,0,1
19,442291245,719,1,0,2,1,0,1
19,439102494,426,0,0,2,0,1,2
19,439114774,41,0,0,2,0,1,2
19,439114773,40,3,3,2,1,0,2
19,439115798,894,0,0,2,0,0,2
19,439115797,897,6,6,2,1,0,2
19,439102493,425,29,13,1,1,0,2
19,442263610,235,1,0,1,0,0,1
19,442263609,231,1,0,1,1,0,1
19,443319354,72,1,0,1,0,0,1
19,443319353,67,1,0,1,1,0,1
20,437527618,437,0,0,1,0,1,2
20,437527617,437,4,4,1,1,0,2
20,439620738,424,0,0,1,0,1,2
20,439620737,425,29,13,1,1,0,2
20,441231370,338,1,0,2,0,0,1
